termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1144","011595","Intermediate Polish","Irena G. Gross","PLS 107","","PLS105.","The class will continue to improve students' knowledge of Polish through conversation and review of grammar  and it will enhance their reading skills through the analysis and translation of some Polish poetry and fragments of prose. There will be also short written assignments."
"1144","010276","Engineering Projects in Community Service (EPICS): Non-credit","Jay B. Benziger Elie R. Bou-Zeid Michael G. Littman","EGR 350","","Juniors only (except for sophomores who have completed EGR 251)..","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1144","012662","Religious Conversion","Leora F. Batnitzky","REL 369","EM","","In the United States  we often think of religious conversion as a radical change in belief on the part of the individual. But historically  and still in much of the world today  religious conversion is as much political as theological. This seminar focuses on religious conversion from the perspectives of politics  international law and human rights  history  literature  post-colonialism  race  psychology  anthropology  and religious studies. Our aim is to understand the complexity of thinking about religious conversion as well as the very category of \"religion.\""
"1144","009655","Contemporary Feminist Theory","Gayle Salamon","GSS 400","SA","GSS 201 or equivalent..","We will take as our primary text the new translation of Simone deBeauvoir's landmark volume The Second Sex  one of the most significant origin points of current understandings of gender. In our sustained consideration of The Second Sex  we will explore Beauvoir's ideas about the influence of sex and gender on childhood  the family  sexuality  relationships  aging  work  the social order  and the philosophical imaginary. We will also consider contemporary fiction and film alongside that text  taking Beauvoir as our tour guide as we encounter and interpret contemporary representations of gender."
"1144","002652","Literature of the American Renaissance  1820-1860","Lee C. Mitchell","ENG 350","LA","","Close study of nine authors--the so-called literary \"renaissance\" of the new republic--who defined a native brand of literature that would influence all subsequent American writers. Our focus will be on narrative and poetic forms that signaled independence from older ideals  offering an exhilarating yet deeply unsettling transition in literary history."
"1144","002536","Theory of Detection and Estimation","Sergio Verdú","ELE 530","","","An introduction to the fundamental theoretical principles of signal processing related to detection and estimation. The level of this course is suitable for research students in communications  control  signal processing  and related areas."
"1144","001472","Research Methods in Demography","Tod G. Hamilton","POP 502 ECO 572 SOC 532","","POP 501/ECO 571/SOC 531 or instructor's permission..","Source materials used in the study of population; standard procedures for the measurement of fertility  mortality  natural increase  migration  and nuptiality; and uses of model life tables and stable population analysis and other techniques of estimation when faced with inaccurate or incomplete data are studied."
"1144","002441","Combustion","Chung K. Law","MAE 531 ENE 531","","","Chemical thermodynamics and kinetics  oxidation of hydrogen  hydrocarbons and alternate fuels  pollutant chemistry and control  transport phenomena  laminar premixed and nonpremixed flames  turbulent flames  ignition  extinction  and flammability phenomena  flame stabilization and blowoff  detonation and blast waves  droplet  spray and coal particle combustion  principles of engine operation."
"1144","012721","Topics in Geometric Analysis and General Relativity - Advanced Topics in General Relativity","Mihalis Dafermos","MAT 526","","Undergrads must obtain permission of instructor..","This course will cover a selection of advanced topics in General Relativity  which could include the construction of dynamical black hole spacetimes  the formation of weak null singularities for the vacuum  and the stability of the Schwarzschild black hole."
"1144","009587","Between Resistance and Collaboration: The Second World War in Europe","Jan T. Gross","HIS 341","HA","PDF option not available to History concentrators..","In the broader context of conflict between fascism  communism  and liberal democracy  we shall examine various patterns and methods of occupation  collaboration  and resistance during World War II in Western and Eastern Europe. The Holocaust of European Jewry and the technology of terror will be discussed. We will try to ascertain how elites and different social strata were affected by the impact of war and occupation. Students will be asked to read historical studies as well as personal narratives by eyewitnesses and participants."
"1144","012612","Founders: The Early American Republic in American History","James A. Dun","HIS 441","HA","Preference given to students who have taken History 372 and/or History 373..","This seminar offers students the opportunity to dig into readings treating American history during the early national period  roughly 1783-1820  when the ideals of the Revolution met the realities of statecraft  when the social institutions of British America were strained through a new national idiom  and when many important issues that would prove vital to subsequent American history were first raised. We will read and talk about Washington  Jefferson  and the like  but also people and groups who are less familiar. An excellent course for those contemplating independent work in this period."
"1144","005125","Introductory Physics II","Steven S. Gubser Norman C. Jarosik","PHY 102","STL","PHY 101.","This course presents an introduction to the fundamental laws of nature  especially optics  electricity/magnetism  nuclear and atomic theory. These are treated quantitatively with an emphasis on problem solving. The laboratory is intended to give students an opportunity to observe physical phenomena and to gain \"hands-on\" experience with apparatus and instruments."
"1144","007263","Advanced Video and Film Production","Su Friedrich","VIS 462","LA","VIS 261/262  VIS 263/264 and self-sufficiency in film editing software such as Premiere or Final Cut Pro..","This course builds on a student's prior experience in writing  shooting and editing. Work develops from their ideas; a student can make one term-long project or numerous short ones  and in any genre. The idea is to refine one's technical skills and expand one's approach to storytelling."
"1144","009644","Topics in Mathematical Modeling - Mathematical Neuroscience","Philip J. Holmes","MAT 323 APC 323","QR","This interdisciplinary course in collaboration with Molecular Biology  Psychology and the Program in Neuroscience is directed toward upper class undergraduate students and first-year graduate students with knowledge of linear algebra and differential equations..","Draws problems from the sciences & engineering for which mathematical models have been developed and analyzed to describe  understand and predict natural and man-made phenomena. Emphasizes model building strategies  analytical and computational methods  and how scientific problems motivate new mathematics."
"1144","006276","Advanced Russian Reading and Conversation II","Ksana Blank","RUS 208","","RUS 207 or permission of instructor..","A continuation of 207. Translation and discussion of the literary texts (20th-century poetry) and the poets' biographies; review of selected grammar topics; work with two movies."
"1144","012680","Street Politics: Revolutions and Social Movements in the Middle East","Kevan K. Harris","NES 366 SOC 366","SA","","Revolutions and social movements are at the center of contemporary politics in Western Asia and Northern Africa. Of course  most of them have not produced outcomes the protagonists intended. Yet the old Middle East order is likely kaput. Why did it happen  what are the variations  and how is it playing out today? This seminar explores the recent wave of Middle East social protest through the historical sociology of revolutions  states  and social movements. The 20th century produced plenty of all three as well as theories about why they intertwine. By paying attention to them  we can learn to think as revolutionaries and tyrants alike."
"1144","011125","The Physical Basis of Human Disease","Celeste M. Nelson","CBE 440","","","This course covers major diseases (cancer  diabetes  heart disease  infectious diseases)  the physical changes that inflict morbidity and mortality  the design constraints for treatment  and emerging technologies that take into account these physical hurdles. Taking the perspective of the design constraints on the system (that is  the mass transport and biophysical limitations of the human body)  we will survey recent results from the fields of drug delivery  gene therapy  tissue engineering  and nanotechnology."
"1144","005438","Formal Political Analysis I","Kristopher W. Ramsay","POL 575","","","A rigorous introduction to choice theory  social choice theory  and non-cooperative game theory. The course serves as the first formal theory graduate course and draws on mathematics at the level of POL 502."
"1144","012303","Intensive Korean II","Ho Jung Choi","KOR 108","","KOR 103 and KOR 108 are designed as a year-long sequence. Credit for KOR 103 will not be given unless it is followed by KOR 108. Students who have completed both courses will be considered to have fulfilled the language requirement equivalent to completing two-year study of a foreign language..","A continuation of Korean 103. This course covers the 2nd Year Korean material focusing on complex grammatical structures  reading  and writing. Journals are kept for writing practice. The students who have successfully completed KOR 103 and KOR 108 will be placed in the 3rd or 4th year Korean if they wish to continue."
