termid,courseid,title,all_listings_string,area,prereqs,descrip
"1142","012455","The Art of Insignificance","FRE 379","LA","FRE 224 or higher  or by permission/interview with Professor..","Perhaps the greatness of works of art and literature -- and of one's life -- can be gauged by the importance they confer to things of no obvious significance: anecdotes  anonymous people  ephemeral characters  trivial details gleaned from daily life. Through readings of texts and film  as well as artworks from Princeton University Art Museum's collections  we will question  far beyond the concerns of minimalism  what is at stake in the possibility of the sublime within the banal. At the crossings of ethics and aesthetics  be raised the questions of what it means to not mean much  and  yet  be absolutely indispensable."
"1142","010276","Engineering Projects in Community Service (EPICS): Non-credit","EGR 350","","Juniors only (except for sophomores who have completed EGR 251)..","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1142","006656","Beginner's Spanish I","SPA 101","","Students with previous knowledge in Spanish MUST take the Department's Spanish language placement test available online from July 15 - August 15 before taking this course. This also applies to Graduate students interested in taking the course. International Baccalaureate students must also take the placement test. Students with an AP5/SP SAT ST 760 score are not required to take this test..","SPA 101 presents the basic structures and vocabulary of the Spanish language. The four skills (listening  speaking  reading and writing) are practiced and developed by means of classroom activities and materials in which language appears in a cultural context. Classes are conducted in Spanish. No credit is given for SPA 101 unless followed by SPA 102."
"1142","005391","Political Philosophy - The Problems of Political Philosophy","POL 518 PHI 529","","","This seminar will cover some basic concepts deployed in political thought and practice  looking at the various ways in which they may be institutionally implemented. The concepts discussed will include those of the state  the constitution and the people as well as some more regular social concepts like that of agency  corporation  freedom and power."
"1142","000526","Italian Renaissance Painting and Sculpture","ART 210","LA","","Lectures will examine the birth  rise and flowering of Italian Renaissance art in Tuscany  Rome and Venice from about 1250 to 1600 A.D.  with emphasis on the 15th and 16th centuries. Artists and works of art will be presented  whenever possible and relevant  within their cultural  political  social  technological and/or economic circumstances. Among the major artists to be studied: Giotto  Ghiberti  Donatello  Masaccio  Botticelli  Leonardo da Vinci  Michelangelo  Raphael  Titian."
"1142","010810","Chinese Art in the Century of Revolution","ART 352 EAS 353","LA","","Chinese art in the 20th century  considered in terms of international influence and domestic struggles  cultural exhaustion and alternative modernities  state-dominated art and censorship  the Chinese cultural disapora  and the international success of Chinese art today."
"1142","001444","Econometric Modeling","ECO 515","","","The construction  estimation  and testing of econometric models as a process  from theory to model formulation to estimation and testing and back to theory. Bridging the gap between theory and applied work. A series of topics in macroeconomics time series and microeconomic cross-sectional analysis: consumption at the household and aggregate level  commodity prices  nonparametric and parametrics estimation."
"1142","002126","Advanced Topics in Computer Science - Software Defined Networking","COS 597","","","Managing computer networks is unnecessarily complicated and error-prone  due to heterogeneous devices with proprietary configuration interfaces. Software Defined Networking (SDN) is poised to change all this by offering a clean  open interface between networking devices and the software controlling them. We explore SDN through classic and recent papers  and a final project. Course covers diverse perspectives from distributed systems and programming languages  to formal verification and algorithms  to identify abstractions that lower the barrier for innovating inside the network."
"1142","005383","Problems in Political Theory - Property and Sovereignty","POL 511","","","This seminar investigates the relationship between property and sovereignty in modern political thought. Among the questions discussed are: are property rights natural or conventional? What is the moral basis of the state's sovereignty over its population and territory? In what ways were ideas about justice and charity (both domestic and international) in this period linked to a background understanding of property rights and their function? The course also considers connections between our main theme - property and sovereignty - and several related topics  including the law of nations  war  and trade."
"1142","002499","Optical Electronics","ELE 453","","","Fundmentals of light-matter interactions  waveguides and resonators  nonlinear optics and lasers."
