termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1164","006291","The Great Russian Novel and Beyond: Dostoevsky  Tolstoy  Chekhov  and Others","Ellen B. Chances","SLA 220 RES 220","LA","Curiosity. Knowledge of Russian not required. Open to first-year students as well as to sophomores  juniors  and seniors in any department..","An examination of significant trends in Russian literature from the 2nd half of the 19th century to the Russian Revolution and a bit beyond. The course focuses on many masterpieces of 19th & 20th-century Russian literature. The works (mostly novels) are considered from a stylistic point of view and in the context of Russian historical and cultural developments. The course also focuses on questions of values and on the eternal \"big questions\" of life that are raised in the literature. Authors read include Turgenev  Dostoevsky  Tolstoy  Chekhov  Bely  Nabokov  and Kharms."
"1164","009990","Ecology and Conservation of African Landscapes","Paula G. Kahumbu Robert M. Pringle","EEB 380","STL","Open to students enrolled in the field semester in Kenya.","Only six percent of Africa's land area (containing a fraction of its biodiversity) is protected  and these areas are rarely large enough to sustain wildlife populations. Mostly  wildlife must share land with people also facing survival challenges. This course will explore how wildlife and people interact in Kenya  where new approaches to conservation are being developed. Lectures will cover the ecology of tropical grasslands and first principles underlying conservation and management of these landscapes. Field trips and projects will examine the dynamics between human actions and biodiversity conservation."
"1164","008353","Sex on the Brain","Joseph R. Califf","WRI 143","","","See the Princeton Writing Program website."
"1164","011749","Czeslaw Milosz: Poetry  Politics  History","Irena G. Gross","SLA 395 RES 395","EM","","Polish-American poet Czeslaw Milosz won the Nobel Prize in literature in 1980. In this seminar  which combines textual analyses  history of literature and intellectual history  we will speak on the basis of his major works (and some of his contemporaries - Seamus Heaney  Joseph Brodsky  Derek Walcott)  about World War II  Polish-Russian relations  global dominance of English-language poetry  growth of high culture in the United States  and the decline of exile."
"1164","010412","American Art and Visual Culture - American Realisms and the Perils of Painting","Rachael Z. DeLue","ART 463","LA","","What is realism? How do works of art capture the realities of existence and experience  history and time? What happens when they fail  or when they do their job too well? With such questions in mind  this undergraduate seminar considers realism in American art  focusing on major figures such as Winslow Homer  Thomas Eakins  Henry Ossawa Tanner  Edward Hopper  and Georgia O'Keeffe. We will examine works of art in terms of their historical contexts and also how they intersect with other fields  including religion  science  and literature. Visits to museums  including the PUAM  will be an important aspect of the course."
"1164","012744","Embodied Computation","Axel Kilian","ARC 596","","The emphasis is on learning new methods of developing design  and there are no prerequisites  but a strong motivation to tackle new knowledge and work in an experimental design setting is expected.","Computational design is often presented as a problem solving tool for design implementation rather than as an integral part of design conceptualization and exploration. This seminar focuses on approaching computational design from the conceptual design direction extending existing or defining novel models of design along the way. A strong emphasis is put on prototyping as a mode of design iteration using both computational prototypes and computationally generated physical prototypes as embodiments of the design process."
"1164","001480","Research Program in Development Studies","Anne C. Case","ECO 581","","","Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend."
"1164","010721","Fundamentals of Queueing Theory","William A. Massey","ORF 407","QR","ORF 309.","An introduction to the fundamental results of queueing theory. Topics covered include the classical traffic  offered load  loss and delay stochastic models for communication systems. Through concrete examples and motivations we discuss the theory of Markov chains  Poisson processes and Monte-Carlo simulation. Fundamental queueing results such as the Erlang blocking and delay formulae  Little's law and Lindley's equation are presented. Applications are drawn from communication network systems  inventory management  and optimal staffing."
"1164","012060","Mathematics for Economics/Life Sciences","Jennifer M. Johnson Ilya Vinogradov","MAT 175","QR","MAT103 or equivalent..","Survey of topics from multivariable calculus as preparation for future course work in economics or life sciences. Topics include basic techniques of integration  average value  vectors  partial derivatives  gradient  optimization of multivariable functions  and constrained optimization with Lagrange multipliers."
"1164","006515","Religion and Public Life","Robert J. Wuthnow","SOC 527","","","Presentation and critical discussion of empirical research in progress by participants. Focuses on the use of social science methods in the study of religion and on applications of recently published work about religion and society. Includes an emphasis on religion and public policy in the U.S. and in comparative perspective."
"1164","007243","How to Make a Film","Keith J. Sanborn","VIS 262","LA","This course is now open enrollment.","A film can be fictional or documentary  but there are also many other ways to tell a story. Through hands-on studio work  screenings  critical readings and group critiques  this course teaches the basic tools and approaches for film production with digital media including writing  camerawork  sound  editing  and postproduction. Technical instruction paired with conceptual frameworks will give you the means to find your visual storytelling voice and your filmmaker's point of view."
"1164","006218","Seminar in Romance Linguistics and/or Literary Theory - Levinas and Blanchot","Thomas A. Trezise","FRE 583 COM 583","","","A seminar on the work of Emmanuel Levinas and Maurice Blanchot  following the development  from a common origin in German phenomenology  of the ethics and the aethetics for which they are respectively well known."
"1164","013619","Topics in Architecture: Colonial Cities","Zeynep Celik","ARC 594","","","This seminar examines colonial urbanism from a comparative perspective. The focus is on the long nineteenth century  an era coined as \"the connected world of empires \" and the goal is to open a window to understanding colonialism. The case studies are drawn from colonial cities of European empires  as well as the idiosyncratic Ottoman practices. A comprehensive study of examples ranging from Algiers to Damascus  Calcutta  and Hanoi reveals a spectrum of experiments  each raising different sets of issues in the relationship between colonial policies and built forms."
"1164","013603","Primary Sources in Japanese Literature - Love Letters","Brian R. Steininger","EAS 540","","","This course introduces students to the location  handling  and interpretation of primary sources in the study of premodern Japanese literature and intellectual history. This semester the course focuses on the genre of the love letter  with peripheral attention to broader categories of erotic verse and epistolary writing. Using documents from the fourteenth through nineteenth centuries  students develop proficiency in reading handwritten and woodblock-printed texts using hentaigana and other cursive forms. Students must have prior training in classical Japanese."
"1164","002682","Forms of Literature - Mystery and Detection","Claudia L. Johnson","ENG 402","LA","","Because they foreground issues of interpretation  signs  and narrative  mysteries attract \"high-brow\" readers while maintaining their \"popular\" status. Our class will trace the development of kinds of mysteries -- classics  cozies  noirs  thrillers  post-moderns  metaphysicals -- across historical contexts. Reading theorists such as Freud  Moretti  and Todorov  we will examine the nature of blindspots  doublings  plotting  clues  and suspense  and consider how racial  sexual and cultural difference puts pressure on literary form."
"1164","002656","Topics in American Literature - American Jewish Writers","Esther H. Schor","ENG 356 JDS 377 AMS 359","LA","","American Jewish Writers adopt a variety of personae: they may write as exiles  as citizens  as provocateurs  among other figures. Why these strategies--and what sort of mark have they left on American Jewish writing? On American letters? On modern Jewish literature? We'll consider the historic sweep of American Jewish writing from the 18th to the 21st centuries--and what better time  since the course coincides with the Princeton Art Museum's exhibition on American Jewish life before the Civil War. Students are invited to explore the collection  and develop docent talks as part of their coursework."
