termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1164","003302","Elementary Hebrew II","Maya Meshel","HEB 102","","HEB 101 or equivalent.","This course is designed for students who are familiar with the Hebrew alphabet  and who have rudimentary skills in reading  writing  speaking and comprehending modern Hebrew. Over the spring term  students will further develop their proficiency in these skills  and acquire a solid grounding in modern Hebrew grammar and syntax. By the end of the semester  students will be able to read and comment on short articles  stories and poems  to conduct conversations  and make short presentations."
"1164","012324","Advanced Turkish: Selected Readings in Historical and Literary Texts","Nilüfer Hatemi","TUR 305","LA","Students are expected to have a sufficient command of Turkish language intermediate/upper intermediate level) to fulfill the reading and writing assignments. See instructor for further information..","This course introduces a wide variety of reading material (newspaper  memoir  letter  short story  diary etc.) to strengthen students' abilities in understanding and evaluating modern Turkish texts. Information on selected authors and their works will provide a general view on the Ottoman/Turkish cultural  literary and historical panorama. The analysis and discussions of the texts in class will serve to build fluency."
"1164","013461","Topics in Number Theory","Manjul Bhargava Xiaoheng Wang","MAT 519","","Undergrads must obtain permission of instructor.","This course covers current topics in number theory. Specific topic information will be provided when the course is offered."
"1164","001478","Macroeconomics/International Finance Workshop","Benjamin Moll","ECO 581","","","Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend."
"1164","000293","History of Architectural Theory","Tamar Zinguer","ARC 308 ART 328","HA","Course open to undergraduate and graduate students. Of particular interest to art history  history  and architecture students. No prerequisites  but HIS 211  ART 333 and ART 322 are strongly recommended as background..","This course offers a history of architectural theory  criticism  and historiography from the Renaissance to the present  emphasizing the texts  media and institutions that have supported architecture's claim to modernity since the late 17th Century. Architectural thought is examined in its social and cultural context as it relates both to the Western philosophical tradition and to design method and practice."
"1164","009165","Survey of Selected Works of Twentieth-Century Architects","","ARC 489","LA","","This course is intended to expose the students to a range of major works  built and unbuilt  of architecture from 1950 to the present. This course will focus on these particular buildings as they open themselves to a textual analysis. These analyses are intended to open up issues such as criticality  autonomy and singularity as they begin to evolve in architectural building (as opposed to texts) in the last half of the 20th century. This course will concentrate on individual buildings not architects. Each analysis will be accompanied by an illustrated presentation and selected readings."
"1164","006657","Beginner's Spanish II","Sylvia Zetterstrand  Anna Alsina Naudi Luis Gonçalves Anais Holgado-Lage Adriana G. Merino Marcia K. Olander Le Anne L. Spino-Seijas","SPA 102","","SPA 101. No credit given for SPA 101 unless followed by SPA 102..","The second course in the elementary Spanish sequence for students with little or no previous knowledge of the language. With its emphasis on the four basic skills (speaking  writing  reading  and listening)  SPA 102 continues to provide students with the linguistic  communicative and cultural foundations to engage in basic daily life interactions in Spanish. Hispanic cultures are introduced through a variety of texts  including readings  music  art  video clips  and film. All of these sources provide the basis for classroom activities."
"1164","000022","African American Autobiography","Albert J. Raboteau","AAS 325 ENG 393 REL 366","LA","","Autobiography has long played a pivotal role in the development of African American literary  cultural and intellectual history. This course will survey major fictional and non-fictional texts in the evolution of African American autobiography. We will read these texts both as representative of literary and cultural trends in the history of the genre  and for their individual significance."
"1164","009628","Survival Analysis (Half-Term)","Germán Rodriguez","POP 509","","POP 507/WWS 509 or equivalent.","Course focuses on statistical analysis of time-to-event or survival data  introduces hazard & survival functions  censoring mechanisms  parametric & non-parametric estimation  and comparison of survival curves. Covers continuous and discrete-time regression models  with emphasis on Cox's proportional hazards model and partial likelihood estimation. Discusses competing risk models  unobserved heterogeneity  and multivariate survival models including event history analysis. Course emphasizes basic concepts and techniques as well as social science applications. Half-course offered in first half of spring term."
"1164","011336","Conceptions of the Sensory","Claudia Joan Brodsky","COM 419 ECS 419","LA","","In-depth discussion and analysis of conceptions of the sensory in writings by philosophers  poets  art critics and theorists  and artists  from the early modern to contemporary periods. We will investigate the ways in which the sensory is understood as the necessary basis for conceptual thinking of diverse kinds  including systematic and dialectical philosophy (Kant and Hegel)  sign theory (Saussure)  imaginative and figural writing  and theory and practice of the plastic arts (Rilke  Mallarmé  Adorno  Greenberg  Serra  Stella  Scully  Buchloh  Warhol  among others)."
"1164","009389","Senior Thesis with Design","Luigi Martinelli","MAE 442","","","Similar to 442 with the principle difference that the thesis must incorporate aspects and principles of design  whether for a system  product  vehicle  device  software  or apparatus. The year-long senior thesis with design may be used to satisfy a portion of the department's design requirement."
"1164","013554","Travelers  Tourists and Pilgrims","Erin F. Johnston","SOC 206","SA","Other 15% = Weekly Response Memos (4 total)..","Travel has always been a central aspect of human life. Today  tourism is one of the largest industries in the world. In this course  we will investigate the history  structure and consequences of tourism as a global industry. We will also examine why people travel  how they travel and what they actually do while \"on the road.\" Throughout  we will use tourism as a lens to engage broader sociological ideas and concepts  including modernity and post-modernity  consumption and cultural commodification  the construction of social inequalities  as well as issues of authenticity  identity  and globalization."
"1164","010150","The Wise Guys: Readings in Biblical Wisdom Literature","Judah Kraut","JDS 303 NES 311 REL 303","","JDS 302 or permission of instructor..","We will read selected passages of Biblical Wisdom Literature (primarily from Proverbs  Ecclesiastes  and Job). Particular attention will be paid to techniques of generating ambiguity in Wisdom Literature. The course is open to students who have completed JDS 302  as well as students with intermediate/advanced Biblical Hebrew."
"1164","004092","Studies in Forms of Narrative - Fiction in Latin America","Michael G. Wood","COM 563 ENG 578 LAS 564 SPA 597","","","The course explores a range of forms and uses of fiction in Latin America since the end of the 19th century  with special attention to changing contexts of politics and history. Texts are available in English  and also read in Portuguese or Spanish as knowledge or enthusiasm allows."
"1164","013575","The Invention of the Gentile: A Case-Study in Ethnic Distinctions","Ishay Rosen Zvi","REL 305 JDS 310","HA","","The distinction between \"gentiles\" and \"Jews\" is significant not only due to the great impact it had on the history of Jewish and Christian communities  but also because it has become a paradigmatic case of the distinction between outsiders and insiders  us and others. This class  based on new research  will probe the origins and construction of this category  beginning with the Bible and proceeding through other classical Jewish and Christian texts."
"1164","004879","Elementary Korean II","Yuseon Yun","KOR 102","","KOR 101 or Instructor's permission..","A continuation of KOR 101. Continued development of proficiency in basic communication."
"1164","008003","Independent Research Project","Alain L. Kornhauser","ORF 376","","Students MUST sign up in room 121 during course selection period..","Independent research or investigation resulting in a report in the student's area of interest under the supervision of a faculty member. Open to sophomores and juniors."
"1164","001225","Advanced Creative Writing (Fiction)","Jeffrey K. Eugenides Jhumpa Lahiri Patrick J. McGrath","CWR 304","LA","Admission by application only and must have completed two 200-level fiction courses. Please visit the Creative Writing Program website (arts.princeton.edu/cwr-app) for application information. Application deadline is November 22  2015..","Advanced practice in the original composition of fiction for discussion in regularly scheduled workshop meetings. The curriculum allows the student to develop writing skills  provides an introduction to the possibilities of contemporary literature and offers perspective on the place of literature among the liberal arts. Criticism by practicing writers and talented peers encourages the student's growth as both creator and reader of literature."
"1164","008338","Life and Death Online","Timothy Recuber","WRI 128","","","See the Princeton Writing Program website."
"1164","005100","Elementary Modern Greek II","Vasiliki Kantzou","HLS 102 MOG 102","","HLS 101 or equivalent  or permission of instructor..","To provide the basis for acquiring a command of written and spoken Modern Greek."
"1164","001428","Portfolio Theory and Asset Management","Motohiro Yogo","ECO 462","SA","ECO 202  or ORF 245  ECO 310  and ECO 362..","This course covers a number of advanced topics related to asset management and asset pricing. Topics include mean-variance analysis  CAPM  APT  market efficiency  delegated money management  stock return predictability  bubbles and crashes  social interaction and investor behavior  security analysts and investor relations  and mutual fund performance and organization."
"1164","013513","Discipline","Miguel A. Centeno Rachael H. Ferguson","FRS 158","SA","","See website"
"1164","008485","The American Dance Experience and Africanist Dance Practices","Dyane Harvey Salaam","DAN 211 AAS 211","LA","Some form of social dancing  good  natural movement aptitude  or former dance training. This is an OPEN ENROLLMENT course..","A studio course introducing students to American dance aesthetics and practices  with a focus on how its evolution has been influenced by African American choreographers and dancers. An ongoing study of movement practices from traditional African dances and those of the African diaspora  touching on American jazz dance  modern dance  and American ballet. Studio work will be complemented by readings  video viewings  guest speakers  and dance studies."
"1164","002096","Theoretical Machine Learning","Elad Hazan","COS 511","","","This course introduces theoretical machine learning  including mathematical models of machine learning  and the design and rigorous analysis of learning algorithms. Likely topics include: intro to statistical learning theory and bounds on the number of random examples needed to learn; learning in adversarial settings and the on-line learning model; using convex optimization to model and solve learning problems; learning with partial observability; recommendation systems and matrix learning; how to boost the accuracy of a weak learning algorithm; universal portfolio selection; learning in games."
"1164","011169","Workshop on Social Organization","Viviana A. Zelizer","SOC 549","","","A two-semester course for graduate students whose work is at the intersection of the fields of organization studies  economic sociology and social network analysis. In addition to covering foundational readings in these fields and addressing selected special topics (e.g. social organizational aspects of economic crisis)  the workshop provides opportunities for students to develop research projects and presentation skills  and to read the work of and interact with scholars brought to campus by the Center for the Study of Social Organization."
"1164","012650","The Origins of Japanese Culture and Civilization: A History of Japan until 1600","Thomas D. Conlan","EAS 218 HIS 209","HA","","This course is designed to introduce the culture and history of Japan  and to examine how one understands and interprets the past. In addition to considering how a culture  a society  and a state develop  we will try to reconstruct the tenor of life in \"ancient\" and \"medieval\" Japan and chart how patterns of Japanese civilization shifted through time."
"1164","012092","Policy Aspects of Federal and State Budgeting and Fiscal Decision-Making","Richard F. Keevey","WWS 383","SA","","Is government spending and debt limiting our country? The course will examine key aspects of federal and state decision-making. We will examine budgeting  taxation  bonds and debt  resource allocation methods  and impact on policy. We will examine the implications of the current confrontations over budget policy in Washington and what is meant for the future. The `feds' spend more than any corporation in the world  but  states in the aggregate spend just as much; thus the course will consider the financial differences between the two governmental levels and the impact both have on our economy."
"1164","013586","Obsession and Addiction in Early Modern Spain","Marina S. Brownlee","SPA 334 COM 377","LA","","Early Modern Spain exhibits a variety of fascinating obsessions and addictions resulting from extreme and rapid political  social  and economic changes. Addiction to sex crimes  to transgendering and tobacco offer some of the most spectacular accounts of the period. The advent of mass culture produced by print technology  tabloid journalism  and public theaters leads to the rise of the \"vulgo\" which the elite seek to control and condemn. The obsessive focus on money (both for \"pícaros\" and \"indianos\") as well as attempts at social engineering by the would-be problem-solving \"arbitristas\" and inquisitors all make for compelling reading."
"1164","000660","Studies in Renaissance and Baroque Architecture","Carolyn Yerkes","ART 547 ARC 552","","","Advanced research in the history of architecture from 1400 to 1750. Topics vary  with the focus each year on important European centers and architects  and on issues related to architectural theory and practice. In spring 2016  this course considers the forms of early modern architectural theory  with particular attention on the history of the architectural book. We explore a set of key genres-including the treatise  the model book  the biography  the construction manual  and the travel narrative-through a close reading of primary sources and direct study of original objects."
"1164","010655","Optimal Learning","Warren B. Powell","ORF 418","QR","ORF 245 and ORF 309.","Optimal learning addresses the challenge of collecting information efficiently when information is expensive. Applications include topics such as finding the best price for a product  identifying the best treatment for a disease  tuning the parameters in a bidding policy  or choosing the best player for a sports team. Students learn how to formulate a learning problem  identify a belief model  and quantify the value of information. The course covers online and offline learning problems  and introduces students to a range of policies for collecting information."
"1164","012672","Eastern Europe: Culture and History","Irena G. Gross","SLA 366 RES 347","EM","","The course will discuss the main trends in East European history and culture  concentrating mostly on 20th and 21st centuries. Each week will be devoted to one aspect of East European studies and the classes will combine theme-plus-methodology approach. There will be several invited speakers. The course is part of the track in East European Cultures and Societies (EECS)  one of the two tracks for Certificate in Russian  East European and Eurasian Studies."
"1164","010057","Ghosts in the Machine","Kristin Dombek Cecily H. Swanson","WRI 193","","","See the Princeton Writing Program website."
"1164","009534","Research Seminars","Keith E. Whittington","POL 597","","","Enrolled graduate students in residence attend one of these seminars each year and present their research. First-year students sign up for 593; second-year students for 594; third-year students for 595; fourth-year students for 596; and fifth-year students for 597. The seminars are offered in four fields: political theory  comparative politics  American politics  and international relations."
"1164","012621","Readings in Ancient and Medieval Japanese History","Thomas D. Conlan","EAS 568 HIS 568","","","This course is designed to introduce fundamental themes and debates about ancient and medieval Japanese history  and how conceptualizations of Japan have changed over time from the third century CE through 1600. Approximately two books  or a comparable number of articles  are required each week  and wherever possible  a brief passage of Japanese scholarship will be presented as well. Reading knowledge of modern Japanese is desirable."
"1164","013562","Introduction to Genomics","Mohamed S. Abou Donia Coleen T. Murphy","MOL 390","STN","COS126.","This course is intended to give students a hands-on introduction into the main computational approaches used in molecular biology research  with a special focus on Genomic approaches. We will reiterate the central dogma of molecular biology  by explaining the biology behind every component of the dogma (DNA  RNA  Protein  and Metabolites)  introducing state-of-the-art computational approaches used to analyze large datasets of each component  giving examples of medical or industrial applications of these approaches  and finally  demonstrating how to perform an actual analysis using the most common tools available."
"1164","010941","Ancient Greco-Roman Medicine: From Hippocrates to Galen","Brooke A. Holmes","CLA 345 HLS 344","HA","","This course is for undergraduates from all backgrounds with an interest in ancient Greco-Roman medicine and the historical roots of contemporary biomedicine. We will examine how a medical tradition forms around the body as an object of knowledge and therapy  paying close attention to socio-historical context. We also explore issues that remain relevant to medicine  such as the construction of scientific authority  pain and knowledge  error and chance in medicine  narrative and disease  the \"naturalization\" of cultural categories  the privileging of anatomy  and body-mind interaction. Reading from primary and secondary sources in translation."
"1164","001543","Pre-Columbian Peoples of Tropical America and Their Environments","Dolores R. Piperno Anthony Ranere","EEB 332 LAS 350","SA","Prerequisites: 211  and 321 and enrollment in the EEB Spring Semester in tropical ecology program in Panama..","The pre-European history of Amerind cultures and their associated environments in the New World tropics will be studied. Topics to be covered include the peopling of tropical America; development of hunting/gathering and agricultural economies; neotropical climate and vegetation history; and the material culture and social organization of native Americans. Field and laboratory experiences will incorporate methods and problems in field archaeology  paleoenthnobotany and paleoecology  and archaeozoology."
"1164","013593","Artistic Entrepeneurship: Creating and Producing Live Performance","Aaron Landsman","THR 325","LA","None - This course is open to students who want to create and produce live performance after college: directors  designers  playwrights  monologists  composers  choreographers..","This course looks critically at existing and possible creative and producing strategies for emerging artists in dance and theater. Combining workshop sessions on students' performance works with practical skills for getting live art funded  produced and seen in the professional world  the course asks students to think of the two sides of their artistic lives as part of a whole  rather than aspects of a split personality. Once you're in the real world  how can you best support the way you want to work? What are the myths and what are the realities about how you support the work you want to make?"
"1164","006772","Policy Seminars","Frederick D. Barton Carol L. Martin Douglas E. Mercado Jin Sato Stephen A. Somers James M. Verdier","WWS 402","","Assignment to these seminars is by a separate application process through the department. Enrollment is limited to WWS majors. The course is required for majors  for whom it is considered Junior Independent Work. WWS juniors are automatically signed up for the policy seminar as Junior Independent Work  not as WWS 402. Seniors serving as commissioners and graduate students serving as consultants may enroll with permission of the instructor..","In policy seminars students work in groups first formulating the general problem  then engaging in individual research on subtopics  and finally presenting their inferences for discussion and debate and producing a collective policy report."
"1164","007003","Topics in Policy Analysis (Half-Term) - Social Entrepreneurship for Policymakers","Brian Trelstad","WWS 594","","","Over the last 20 years  the emerging field of social entrepreneurship has taken new approaches to problems in education  waste management and global public health. This course focuses on types and stages of different social enterprises (non-profits/hybrid organizations/for-profits)  will evaluate nature of capital available from grants to patient capital to market-return investments. Course seeks to equip students with a framework for understanding how: 1) social enterprise can complement traditional provision of public services and 2) new markets are being created that deliver clear social benefits while generating returns to investors."
"1164","009762","Madness and Culture","George R. Laufenberg","WRI 190","","","See the Princeton Writing Program website."
"1164","004511","Contexts of Composition","Donnacha M. Dennehy","MUS 545","","","Rules and Freedom: concentrates on the dialogue between rules (control) and freedom in the compositional act. We start out analyzing some rule-oriented composers such as Tom Johnson  John Cage  and Arvo Pärt  among others  and contrasting them with those where a rule-oriented method intersects more freely with an instinctual approach. We then examine the music of composers who embrace an altogether less prescriptive approach in favor of a kind of compositional freedom. Some may argue that this may not be quite as it seems. Students should bring other examples to the table  and are also asked to compose little assignments."
"1164","009983","Intermediate Hindi II","Robert L. Phillips","HIN 107","","HIN105 or the equivalent level of proficiency.","Continuing from HIN 105  this course provides training in reading  writing  speaking and listening. Students will attain the ability to read and understand texts in Hindi on familiar topics  to speak with other Hindi speakers in a wide range of common situations  to write concise texts expressing thoughts and views  and acquire general familiarity with the cultural context(s) in which Hindi is used. Students will have exposure to the cultural contexts of South Asia through multimedia resources  and will engage in interactive and collaborative task-based activities in the classroom."
"1164","001069","Intensive Intermediate Chinese","Qifan Ding Wei Gong Tao Peng","CHI 108","","CHI 103 or Instructor's permission..","An intensive course covering 105 and 107 in one semester for students who have finished 103 which covers 101 and 102. The course will emphasize reading and writing skills and the analysis of grammar. After 108  students are ready for third year courses."
"1164","010536","Engineering Projects in Community Service (EPICS)","Jay B. Benziger Michael G. Littman","EGR 451","","Completion of EGR 450.","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1164","010204","Introduction to Urban Studies","M. Christine Boyer","URB 201 WWS 201 SOC 203 ARC 207","SA","","This course will examine different crises confronting cities in the 21st century. Topics will range from informal settlements  to immigration  terrorism  shrinking population  sprawl  rising seas  affordable housing  gentrification  smart cities. The range of cities will include Los Angles  New Orleans  Paris  Logos  Caracas  Havana  New York  Hong Kong  Dubai among others."
"1164","010878","Writing an Effective Scientific Research Article (Half Term): Sci & Engineering","Judith A. Swan","WRI 502","","Course open to graduate students who have completed sufficient research to begin writing a research article in any area of science or engineering..","Writing workshop for students in any area of quantitative research  including science and engineering  who are prepared to draft a research article for publication based on their original work. Topics include getting started  presenting data  communicating visually  understanding the elements of a research article  using evidence persuasively  revising effectively  soliciting useful comments from readers  and incorporating feedback. One 2-hour  50-minute seminar."
"1164","004150","Linear Algebra with Applications","Nicolas Boumal Hansheng Diao Chun-Hung Liu Adam W. Marcus Mark W. McConnell Ori Parzanchevski Steven W. Sivek Florian E. Sprung Tomasz Tkocz","MAT 202","QR","MAT104 equivalent..","Companion course to MAT201. Matrices  linear transformations  linear independence and dimension  bases and coordinates  determinants  orthogonal projection  least squares  eigenvectors and their applications to quadratic forms and dynamical systems."
"1164","001142","Problems in Latin Literature - Senecan Tragedy","Yelena Baraz","CLA 542","","","We read three of Seneca's tragedies and consider the major issues such as their relationship to Greek models  to Seneca's philosophical works  their status as works for the stage  and their place in Neronian culture."
"1164","006861","Topics in Domestic Policy Analysis - Poverty and Public Policy","Martha B. Coven","WWS 528","","","This seminar will provide a survey of trends in U.S. poverty and how public policy has responded over time. Examines the range of benefits and services that comprise the social safety net  including refundable tax credits  housing subsidies  nutrition programs  cash assistance  and Social Security benefits. Also reviews past and current debates over the effectiveness of these programs  with a particular focus on welfare reform. Assignments are designed to provide students with practical experience in how to present ideas to policymakers and a broader public audience."
"1164","004667","Ottoman Diplomatics: Paleography and Diplomatic Documents","Mehmed Sükrü Hanioglu","NES 506","","","An introduction to Ottoman paleography and diplomatics. The documents will be in divani and rika scripts."
"1164","013505","Empires of the Ancient World","Michael A. Flower","FRS 126","HA","","See website"
"1164","001199","Random Heterogeneous Materials","Salvatore Torquato","MSE 515 APC 515","","","Composites  porous media  foams  colloidal suspensions  geological media  polymer blends  and biological media are all examples of heterogeneous materials. Often the microstructure of such materials is random. The relationship between the macroscopic (transport  mechanical  electromagnetic  and chemical) properties and microstructure of random heterogeneous materials is formulated. Topics include statistical characterization of the microstructure via n-point distribution functions; percolation theory; fractal concepts; sphere packings; Monte Carlo simulation techniques; and image analysis of microstructures; homogenization theory; effective-"
"1164","001447","Econometric Theory II","Kirill Evdokimov Ulrich K. Mueller","ECO 518","","ECO 517..","This course begins with extensions of the linear model in several directions: (1) pre-determined but not exogenous regressors; (2) heteroskedasticity and serial correlation; (3) classical GLS; (4) instrumental variables and generalized method of movements estimators. Applications include simultaneous equation models  VARS and panel data. Estimation and inference in non-linear models are discussed. Applications include nonlinear least squares  discrete dependent variables (probit  logit  etc.)  problems of censoring  truncation and sample selection  and models for duration data."
"1164","003425","African American History to 1863","Tera W. Hunter","AAS 366 HIS 386","HA","","This course explores African-American history from the Atlantic slave trade up to the Civil War. It is centrally concerned with the rise of and overthrow of human bondage and how they shaped the modern world. Africans were central to the largest and most profitable forced migration in world history. They shaped new identities and influenced the contours of American politics  law  economics  culture and society. The course considers the diversity of experiences in this formative period of nation-making. Race  class  gender  region  religion  labor  and resistance animate important themes in the course."
"1164","012985","Interdisciplinary Studies in the Humanities","Andrew Cole Brooke A. Holmes","HUM 595 ENG 598 HLS 595 MOD 532 CLA 595","","","What is the world? What does it mean to make  unmake  and remake a world? This course on Cosmopoiesis seeks to answer these questions in its study of early forms of premodern worldmaking in Greco-Roman natural philosophy and their afterlives in medieval  early modern  and modern philosophy. In this course we will imagine the cosmos at every possible scale  from the infinitesimally small to the infinitely large  and reflect on the ethical stakes of such a practice. We will also attend to the problems of mereology  teleology  dialectics  and figuration  and seek to rethink the philosophical and historical grounds of \"theory\"."
"1164","013571","Latin American Politics from Below","Maria Paula Saffon Sanin","POL 477 LAS 477","SA","","This seminar focuses on the role of from-below groups in Latin American political history. It begins with an exploration of theoretical works that deal with social movements. It then analyzes the different periods in which the mobilization of from-below groups has influenced political transformations in the region. We will study the demands of indigenous  slaves and peasants during colonial times  and their contributions to the independence movement  early democratic transitions  social revolutions and guerrilla groups. We will also explore the region's new social movements  such as women  LGBTQI  and victims of political violence."
"1164","006814","Financial Management in the Corporate and Public Sectors","Adam Shrager","WWS 505","","","Designed to introduce graduate students in public and international affairs to certain principals and analytic tools widely used in the financial manage­ment of organizations  privately or publicly owned. Course is based on the premise that future civil servants should be familiar with this subject matter  either because they may be involved in the financial management of public agencies  or negotiate financial contracts with the private sector  or regulate financial management in the private sector."
"1164","004168","Ordinary Differential Equations","Vlad C. Vicol","MAT 427","QR","MAT 215/217 or 216/218  or equivalent..","This course offers an introduction to the study of ordinary differential equations. Topics include: Explicit solutions of some linear and non-linear equations (using tools that span: separation of variables  integrating factors  Greens functions  and Laplace transform methods); Series solutions of ODEs with analytic coefficients and with regular singular points; Fundamental existence and uniqueness theorems (Peano  Picard-Lindelof  and Osgood); Introduction to dynamical systems (Poincare-Bendixon theorem); Stability of equilibrium points and periodic orbits."
"1164","011852","Introduction to Dance Across Cultures","Judith Hamera","DAN 215 ANT 355","LA","No prior dance experience is necessary to succeed in this course..","Bharatanatyam  butoh  hip hop  and salsa are some of the dances that will have us travel from temples and courtyards to clubs  streets  and stages around the world. Through studio sessions  readings and viewings  field research  and discussions  this seminar will introduce students to dance across cultures with special attention to issues of migration  cultural appropriation  gender and sexuality  and spiritual and religious expression. Students will also learn basic elements of participant observation research. Guest artists will teach different dance forms. No prior dance experience is necessary."
"1164","008820","Introduction to Cognitive Neuroscience","Kenneth A. Norman","NEU 202 PSY 259","EC","NEU201/PSY258 or instructor's permission..","This course surveys current knowledge about the neural underpinnings of cognitive functions such as attention  language  memory  learning  and decision making. Cognitive neuroscience is a young field where many questions are yet unanswered. Through this course students will learn to extract overarching principles of cognitive function and neural organization  and to effectively address questions about the neural substrates of high-level human behaviors using current neuroscientific methods and clever experimental design. Precepts will discuss primary literature pertaining to the topics covered in class."
"1164","010140","Neuroscience of Social Cognition and Emotion","Uri Hasson","PSY 337 NEU 337","EC","PSY 258.","This course explores the neural foundations of social cognition and social emotions. The objective is to provide a comprehensive overview of research topics relevant to the emerging field of social neuroscience. We will also discuss questions that cut across the specific topics that will be covered. Do neural systems exist that are specialized for social cognition or do the systems that participate in social cognition have more general cognitive functions? Can neuroscientific research shed new light on social cognition? How can different disciplines in neuroscience and the social sciences contribute to social neuroscience research?"
"1164","010599","Physics of Plasma Propulsion","Edgar Y. Choueiri","MAE 528 AST 566","","","Focus of this course is on fundamental processes in plasma thrusters for spacecraft propulsion with emphasis on recent research findings. Start with a review of the fundamentals of mass  momentum & energy transport in collisional plasmas  wall effects  & collective (wave) effects  & derive a generalized Ohm's law useful for discussing various plasma thruster concepts. Move to detailed discussions of the acceleration & dissipation mechanisms in Hall thrusters  magnetoplasmadynamic thrusters  pulsed plasma thrusters  & inductive plasma thrusters  & derive expressions for the propulsive efficiencies of each of these concepts."
"1164","011539","Form Finding of Structural Surfaces","Sigrid M. Adriaenssens","CEE 546","","Open to all CEE and Architecture graduate students. Undergraduate students must get approval from Professor Adriaenssens..","The course looks at the most inventive structures and technologies  demonstrating their use of form finding techniques in creating complex curved surfaces. The first part introduces the topic of structural surfaces  tracing the ancient relationship between innovative design and construction technology and the evolution of surface structures. The second part familiarizes the student with membranes(systems  form finding techniques materials and construction techniques) The third part focuses on rigid surfaces. The fourth part provides a deeper understanding of numerical form finding techniques."
"1164","000739","Seminar in Observational Astrophysics - Current Research Topics in Astrophysics","David N. Spergel","AST 542","","","Students prepare and deliver presentations on selected topics in observational astronomy  and discuss each other's work."
"1164","004416","Projects in Instrumental Performance - Chamber Music","Eric B. Cha-Beach Susannah G. Chapman John J. Ferrari Benjamin L. Herrington Margaret A. Kampmeier Joshua Quillen Adam Sliwinski Matthew E. Sullivan Jennifer C. Tao Jessica L. Thompson Jason Treuting","MUS 213","LA","","Instrumental chamber music class of the standard repertory of the 18th  19th  and 20th centuries. Preparation for performance of ensembles. Each ensemble's repertoire will be determined in consultation with the instructors during the first week of classes."
"1164","010065","Senior Project","Alain L. Kornhauser","ORF 479","","","Students conduct a one-semester project. Topics chosen by students with approval of the faculty. A written report is required at the end of the term."
"1164","013537","Slavery  Freedom  and the Archive","Britt M. Rusert","ENG 354 AAS 354","LA","","Given the conditions of loss  transience  and fragmentation that structure both the experiences and archives of slavery  is it possible to talk about a coherent tradition of African American literature before the twentieth century? This course will investigate that question by taking a book history approach to early African American literature and by exploring the problem of the archive and of the literary itself in the contexts of slavery and nominal freedom. Finally  we will explore the methodological and theoretical implications of studying slavery in an age of digitization."
"1164","008330","Illusions  Delusions  and Neuroscience","Kachina R. Allen","WRI 121","","","See the Princeton Writing Program website."
"1164","009308","Spanish Language and Culture through Cinema","Gorka Bilbao Terreros  Nadia Cervantes Pérez Manuel Malia","SPA 209","","SPA 107 with instructor's permission or SPA 108. Also open to students who have completed their Spanish language requirement through the Department's placement test or a satisfactory AP/SAT score (AP5/SP SAT ST 760)..","A course designed to improve speaking abilities while learning about Hispanic cultures and cinema in context. The course aims to provide the students with lexical and grammatical tools to allow them to engage in formal and informal discussion on a variety of topics informed by the films provided. Additionally  there will be several writing exercises throughout the semester that will help students improve their writing abilities. By the end of the course  students should have a better command of all linguistic skills  especially listening comprehension  fluidity and accuracy in their speech."
"1164","002868","Advanced French Language and Style","Casey L. Warwood","FRE 307","","A 200-level French course or Permission of Instructor..","To improve spoken and written French through attentive study of French grammatical and syntactic structures and rhetorical styles  with a variety of creative  analytical and practical writing exercises  and reading of literary and non-literary texts."
"1164","002051","General Computer Science","Kevin Wayne","COS 126 EGR 126","QR","","An introduction to computer science in the context of scientific  engineering  and commercial applications. The goal of the course is to teach basic principles and practical issues  while at the same time preparing students to use computers effectively for applications in computer science  physics  biology  chemistry  engineering  and other disciplines. Topics include: hardware and software systems; programming in Java; algorithms and data structures; fundamental principles of computation; and scientific computing  including simulation  optimization  and data analysis. Video lectures  one or two classes  two preceptorials."
"1164","008503","Orchestral Music: Analysis and Performance","Ruth A. Ochs","MUS 217","LA","Open to members of the Princeton University Orchestra..","Using the Princeton University Orchestra's spring 2015 concert repertory as the primary focus material  this year's course will explore the composers Beethoven  Mahler  Strauss  and Shostakovich. The core repertory is Beethoven's Seventh Symphony  Mahler's Das Lied von der Erde  Strauss's Tod und Verklärung  and Shostakovich's Fifth Symphony. Lectures and discussions will explore composer biography  historical context  and music analytical insights for each work."
