AB,ECO,ECO100,ECO101,ECO202|ORF245,MAT175|MAT201,ECO300|ECO310,ECO301|ECO311,ECO302|ECO312,ECO3*|ECO4*,ECO3*|ECO4*,ECO3*|ECO4*,ECO3*|ECO4*|COS445|ELE381|HIS474|MAT378|ORF307|ORF309|ORF311|ORF350|ORF363|ORF405|ORF417|POL347|POL349|POL352|POL385|WWS340|WWS373|WWS408|WWS466,ECO3*|ECO4*|COS445|ELE381|HIS474|MAT378|ORF307|ORF309|ORF311|ORF350|ORF363|ORF405|ORF417|POL347|POL349|POL352|POL385|WWS340|WWS373|WWS408|WWS466
BSE,COS,COS126,COS226,COS217,MAT202|MAT204,COS340|COS423|COS433|COS445|COS451|COS487|COS488,COS340|COS423|COS433|COS445|COS451|COS487|COS488,COS306|COS318|COS320|COS333|COS375|COS418|COS425|COS461|COS475,COS306|COS318|COS320|COS333|COS375|COS418|COS425|COS461|COS475,COS314|COS323|COS325|COS326|COS401|COS402|COS424|COS426|COS429|COS432|COS435|COS436|COS455,COS314|COS323|COS325|COS326|COS401|COS402|COS424|COS426|COS429|COS432|COS435|COS436|COS455,COS3*|COS4*|MAT3*|MAT4*|ELE3*|ELE4*|PHY3*|PHY4*|ORF3*|ORF4*|PHI312|MAE345|CHM303|ECO312|MOL437|ECO326,COS3*|COS4*|MAT3*|MAT4*|ELE3*|ELE4*|PHY3*|PHY4*|ORF3*|ORF4*|PHI312|MAE345|CHM303|ECO312|MOL437|ECO326
AB,ANT,ANT2*,ANT2*,ANT300B,ANT301B,ANT390B,ANT3*,ANT4*,ANT3*|ANT4*,ANT3*|ANT4*,,,
